,driverID,endtime,dtime[min],number,weight,latitude,longitude,distance[m],date
1,231360.0,947,2.0,8.0,202.0,35.36135723333333,136.58717383333334,43.58237317935659,20191101
2,231360.0,953,6.0,1.0,5.0,35.361829,136.5863886,88.54184149773693,20191101
3,231360.0,1000,47.0,2.0,20.0,35.3590048,136.5836487,400.8883395264838,20191101
4,231360.0,1005,5.0,4.0,748.0,35.3546872,136.5831452,482.8019157536052,20191101
5,231360.0,1012,7.0,2.0,30.0,35.3595416,136.5795414,631.7184603339042,20191101
6,231360.0,1024,12.0,1.0,2.0,35.3624469,136.5783103,342.18316779531574,20191101
7,231360.0,1027,3.0,2.0,6.0,35.3624518,136.578935,56.71398789421752,20191101
8,231360.0,1037,10.0,7.0,650.0,35.3624469,136.5783103,56.71398789421752,20191101
9,231360.0,1049,12.0,2.0,22.0,35.3611603,136.5834201,485.48782540090906,20191101
10,231360.0,1052,3.0,2.0,100.0,35.3619692,136.5840102,104.77685382386751,20191101
11,231360.0,1059,7.0,1.0,5.0,35.3680413,136.5808441,734.5111529329557,20191101
12,231360.0,1102,43.0,2.0,11.0,35.3678112,136.5801702,66.31993635727599,20191101
0,232125.0,941,4.0,11.0,196.0,35.3774746,136.6180633,527.3702162365431,20191101
1,232125.0,948,7.0,6.0,32.0,35.3634695,136.6220517,1600.5247169963725,20191101
2,232125.0,957,9.0,1.0,2.0,35.3691412,136.6245338,670.3712606231587,20191101
3,232125.0,1000,43.0,2.0,15.0,35.3692534,136.619582,449.66951575086534,20191101
4,232125.0,1001,1.0,3.0,13.0,35.3705265,136.6186809,163.63185517362743,20191101
5,232125.0,1004,3.0,1.0,10.0,35.3684344,136.618329,235.07194638678365,20191101
6,232125.0,1049,45.0,17.0,373.0,35.3676907,136.6141906,384.6796919214656,20191101
7,232125.0,1053,4.0,4.0,38.0,35.3698996,136.615294,265.5105756846839,20191101
0,232680.0,1005,4.0,2.0,40.0,35.3787151,136.6251052,104.51937010769734,20191101
1,232680.0,1015,10.0,24.0,314.0,35.3786202,136.6283177,291.7694063058576,20191101
2,232680.0,1023,8.0,9.0,139.0,35.379921700000004,136.6273628,168.8268207292597,20191101
3,232680.0,1044,21.0,2.0,80.0,35.3875153,136.6247111,878.9068232432372,20191101
4,232680.0,1050,6.0,3.0,57.0,35.388825,136.6245904,146.20599877994874,20191101
5,232680.0,1107,57.0,1.0,10.0,35.4404241,136.6016311,6109.992477511118,20191101
6,232680.0,1119,12.0,2.0,40.0,35.4404461,136.6022196,53.42963833084673,20191101
